mapping_id,source_code_system,source_version,source_code,source_label_raw,source_label_verified,target_code_system,target_release,target_code,target_label_verified,mapping_direction,raw_mapping_flags,mapping_cardinality,mapping_class,target_code_status,mapping_source_name,mapping_source_version,mapping_source_row_reference,source_url_or_file,retrieval_date,status,limitation,needs_human_review
MAP001,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.00,"Generalized nonconvulsive epilepsy, not intractable.","Generalized nonconvulsive epilepsy, without mention of intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.A01,"Absence epileptic syndrome, not intractable, with status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 1,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP002,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.00,"Generalized nonconvulsive epilepsy, not intractable.","Generalized nonconvulsive epilepsy, without mention of intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.A09,"Absence epileptic syndrome, not intractable, without status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 2,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP003,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.10,"Generalized convulsive epilepsy, not intractable.","Generalized convulsive epilepsy, without mention of intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.309,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 3,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP004,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.10,"Generalized convulsive epilepsy, not intractable.","Generalized convulsive epilepsy, without mention of intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.401,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 4,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP005,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.10,"Generalized convulsive epilepsy, not intractable.","Generalized convulsive epilepsy, without mention of intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.409,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 5,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP006,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.40,Localization-related (focal) epilepsy with complex partial seizures.,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.201,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 6,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP007,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.40,Localization-related (focal) epilepsy with complex partial seizures.,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 7,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP008,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.90,"Epilepsy unspecified, not intractable.","Epilepsy, unspecified, without mention of intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.901,"Epilepsy, unspecified, not intractable, with status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 8,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP009,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.90,"Epilepsy unspecified, not intractable.","Epilepsy, unspecified, without mention of intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 9,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP010,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.91,"Epilepsy unspecified, with intractable epilepsy.","Epilepsy, unspecified, with intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.911,"Epilepsy, unspecified, intractable, with status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 10,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
MAP011,ICD-9-CM,ICD-9-CM diagnosis code set used by 2018 GEMs,345.91,"Epilepsy unspecified, with intractable epilepsy.","Epilepsy, unspecified, with intractable epilepsy",ICD-10-CM,"FY 2026 ICD-10-CM April 1, 2026 release",G40.919,"Epilepsy, unspecified, intractable, without status epilepticus",ICD-9-CM_to_ICD-10-CM,10000,one_to_many,multiple_candidates,active_in_configured_release,CMS 2018 ICD-9-CM to ICD-10-CM General Equivalence Mappings (GEMs),2018 final GEMs,scoped extract line 11,sources/mapping/2018_I9gem_scoped_extract.txt,2026-07-12,needs_review,Multiple candidates; all candidate rows carry approximate=1. Raw and verified source labels differ in wording. Runtime used a scoped mirror-derived extract; compare with official CMS ZIP before operational use.,TRUE
